,Posição,Escola,Inep,Cidade,Estado,Dp_Adm,Tipo_dp,Qtd_alunos,Linguagens_Codigos,Ciencias_Humanas,Ciencias_Natureza,Matematica,Redacao,Media
167,168,COL ISRAELITA BRAS A LIESSIN SCHOLEM ALEICHEM,33142726,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,20,"608,13","635,31","574,50","752,67","885,00","642,65"
168,169,COL PONTAGROSSENSE-EDUC INF ENS FUND ENS MED,41063309,Ponta Grossa,Paraná,Privada,Urbana,26,"598,82","642,47","617,66","711,62","691,54","642,64"
169,170,COLEGIO SIMBIOS,52097676,Goiânia,Goiás,Privada,Urbana,178,"605,78","617,23","614,56","732,82","889,78","642,60"
170,171,CEFET-MG - UNIDADE BELO HORIZONTE,31245488,Belo Horizonte,Minas Gerais,Federal,Urbana,460,"602,82","626,50","600,63","740,05","800,83","642,50"
171,172,COLEGIO EQUIPE,26118165,Recife,Pernambuco,Privada,Urbana,79,"611,31","633,90","594,38","730,40","840,00","642,50"
172,173,COLEGIO SANTO INACIO,33063729,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,157,"605,82","637,22","596,92","729,88","853,63","642,46"
173,174,COL OLIMPO DE AGUAS CLARAS,53015789,Brasília,Distrito Federal,Privada,Urbana,43,"602,72","627,62","622,06","716,79","830,23","642,30"
174,175,COLEGIO AGOSTINIANO NS DE FATIMA,52033210,Goiânia,Goiás,Privada,Urbana,57,"603,55","625,23","612,73","727,39","865,96","642,22"
175,176,CLQ - COLEGIO LUIZ DE QUEIROZ,35113852,Piracicaba,São Paulo,Privada,Urbana,14,"602,89","626,14","609,90","728,69","758,57","641,91"
176,177,COLEGIO MARISTA - VARGINHA,31293687,Varginha,Minas Gerais,Privada,Urbana,46,"605,37","642,39","608,57","711,25","887,83","641,90"
177,178,COLEGIO OLIMPO,31318426,Uberlândia,Minas Gerais,Privada,Urbana,56,"605,00","637,76","599,14","725,60","870,36","641,88"
178,179,COLEGIO ANGLO LEONARDO DA VINCI,35287600,São Paulo,São Paulo,Privada,Urbana,16,"609,84","617,93","608,10","731,26","822,50","641,78"
179,180,SAO CARLOS INSTITUTO EDUCACAO DE ENSINO FUNDAMENTAL E MEDIO,35170331,São Carlos,São Paulo,Privada,Urbana,14,"600,02","633,79","619,45","713,50","881,43","641,69"
180,181,COLEGIO MARISTA SANTA MARIA - EI EF EM,41133153,Curitiba,Paraná,Privada,Urbana,166,"598,32","628,70","609,05","730,67","752,05","641,68"
181,182,COLEGIO DOM FERRAZ,31248401,Caxambu,Minas Gerais,Privada,Urbana,17,"591,81","628,81","593,91","751,97","841,18","641,63"
182,183,CEFET-MG - UNED TIMOTEO,31333361,Timóteo,Minas Gerais,Federal,Urbana,75,"598,02","629,75","602,00","736,69","819,20","641,62"
183,184,EBENEZER CENTRO EDUCACIONAL,35569227,Mogi Mirim,São Paulo,Privada,Urbana,12,"596,37","624,37","615,13","730,42","825,00","641,57"
184,185,COLEGIO ARI DE SA CAVALCANTE WASHINGTON SOARES,23071036,Fortaleza,Ceará,Privada,Urbana,142,"605,12","625,09","600,09","735,51","848,73","641,45"
185,186,COLEGIO SANTO AGOSTINHO - UNIDADE NOVO LEBLON,33087679,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,11,"600,66","631,30","610,58","723,02","898,18","641,39"
186,187,SESI CAT OTONI A DA COSTA UNID II,31268259,Sete Lagoas,Minas Gerais,Privada,Urbana,29,"615,03","623,66","600,42","726,39","880,00","641,37"
187,188,PENTAGONO COLEGIO UNIDADE MORUMBI,35137133,São Paulo,São Paulo,Privada,Urbana,38,"606,82","639,91","588,07","730,57","871,05","641,34"
188,189,IFES - CAMPUS CACHOEIRO DE ITAPEMIRIM,32079583,Cachoeiro de Itapemirim,Espirito Santo,Federal,Rural,68,"606,86","628,13","607,37","722,65","820,00","641,25"
189,190,PARQUE ECOLOGICO INSTITUTO EDUCACIONAL,35439599,Indaiatuba,São Paulo,Privada,Urbana,26,"609,88","634,33","605,67","714,98","836,15","641,22"
190,191,UFMG - COLEGIO TECNICO,31000019,Belo Horizonte,Minas Gerais,Federal,Urbana,162,"602,50","618,79","608,97","734,32","789,88","641,15"
191,192,COLEGIO SETE DE SETEMBRO,31128031,Poços de Caldas,Minas Gerais,Privada,Urbana,45,"603,35","622,36","607,41","731,39","848,44","641,12"
192,193,COLEGIO E CURSO EVOLUCAO,25097539,João Pessoa,Paraíba,Privada,Urbana,71,"605,10","630,14","596,76","732,48","843,38","641,12"
193,194,COLEGIO MAUA,43119930,Santa Cruz do Sul,Rio Grande do Sul,Privada,Urbana,60,"604,52","620,16","613,09","725,95","854,00","640,93"
194,195,COLEGIO SAO FRANCISCO XAVIER - CARIRU,31193097,Ipatinga,Minas Gerais,Privada,Urbana,76,"595,96","633,04","605,38","728,71","882,11","640,77"
195,196,COLEGIO SAO PAULO,33042578,Teresópolis,Rio de Janeiro,Privada,Urbana,40,"607,22","636,78","593,81","725,21","850,00","640,75"
196,197,COLEGIO DE A A Z - UNIDADE BOTAFOGO,33228604,Rio de Janeiro,Rio de Janeiro,Privada,Urbana,70,"609,45","623,98","601,10","728,33","826,00","640,71"
197,198,ESCOLA EDUCACAO CRIATIVA,31193216,Ipatinga,Minas Gerais,Privada,Urbana,96,"598,17","613,88","607,86","742,93","936,04","640,71"
198,199,COLEGIO JAO LTDA,52086615,Goiânia,Goiás,Privada,Urbana,53,"601,55","626,88","607,39","726,91","866,42","640,68"
199,200,COL MARISTA NOSSA SENHORA DO ROSARIO,43108164,Porto Alegre,Rio Grande do Sul,Privada,Urbana,153,"610,09","634,97","599,96","716,28","748,63","640,32"
